2003.10.02 20:11 B C:\ADrienne\CSA old site\actfair.html <-- Ipswitch /ase/studentorganizations/csa actfair.html
2003.10.02 20:11 B C:\ADrienne\CSA old site\dimsum.html <-- Ipswitch /ase/studentorganizations/csa dimsum.html
2003.10.02 20:11 B C:\ADrienne\CSA old site\events.html <-- Ipswitch /ase/studentorganizations/csa events.html
2003.10.02 20:11 B C:\ADrienne\CSA old site\guestbook.html <-- Ipswitch /ase/studentorganizations/csa guestbook.html
2003.10.02 20:11 B C:\ADrienne\CSA old site\Guestlog2.html <-- Ipswitch /ase/studentorganizations/csa Guestlog2.html
2003.10.02 20:12 B C:\ADrienne\CSA old site\index.html <-- Ipswitch /ase/studentorganizations/csa index.html
2003.10.02 20:12 B C:\ADrienne\CSA old site\links.html <-- Ipswitch /ase/studentorganizations/csa links.html
2003.10.02 20:12 B C:\ADrienne\CSA old site\messageboard.html <-- Ipswitch /ase/studentorganizations/csa messageboard.html
2003.10.02 20:12 B C:\ADrienne\CSA old site\misc.html <-- Ipswitch /ase/studentorganizations/csa misc.html
2003.10.02 20:12 B C:\ADrienne\CSA old site\officers.html <-- Ipswitch /ase/studentorganizations/csa officers.html
2003.10.02 20:12 B C:\ADrienne\CSA old site\photo.html <-- Ipswitch /ase/studentorganizations/csa photo.html
2003.10.02 20:12 B C:\ADrienne\CSA old site\Utopia.gif <-- Ipswitch /ase/studentorganizations/csa Utopia.gif
2003.10.02 20:12 B C:\ADrienne\CSA old site\wstar.gif <-- Ipswitch /ase/studentorganizations/csa wstar.gif
2003.10.02 20:12 B C:\ADrienne\CSA old site\actfair.html --> ftp.ase.tufts.edu /ase/studentorganizations/csa/Old site actfair.html
2003.10.02 20:13 B C:\ADrienne\CSA old site\dimsum.html --> ftp.ase.tufts.edu /ase/studentorganizations/csa/Old site dimsum.html
2003.10.02 20:13 B C:\ADrienne\CSA old site\events.html --> ftp.ase.tufts.edu /ase/studentorganizations/csa/Old site events.html
2003.10.02 20:13 B C:\ADrienne\CSA old site\guestbook.html --> ftp.ase.tufts.edu /ase/studentorganizations/csa/Old site guestbook.html
2003.10.02 20:13 B C:\ADrienne\CSA old site\Guestlog.html --> ftp.ase.tufts.edu /ase/studentorganizations/csa/Old site Guestlog.html
2003.10.02 20:13 B C:\ADrienne\CSA old site\Guestlog2.html --> ftp.ase.tufts.edu /ase/studentorganizations/csa/Old site Guestlog2.html
2003.10.02 20:13 B C:\ADrienne\CSA old site\index.html --> ftp.ase.tufts.edu /ase/studentorganizations/csa/Old site index.html
2003.10.02 20:13 B C:\ADrienne\CSA old site\links.html --> ftp.ase.tufts.edu /ase/studentorganizations/csa/Old site links.html
2003.10.02 20:13 B C:\ADrienne\CSA old site\messageboard.html --> ftp.ase.tufts.edu /ase/studentorganizations/csa/Old site messageboard.html
2003.10.02 20:13 B C:\ADrienne\CSA old site\misc.html --> ftp.ase.tufts.edu /ase/studentorganizations/csa/Old site misc.html
2003.10.02 20:13 B C:\ADrienne\CSA old site\officers.html --> ftp.ase.tufts.edu /ase/studentorganizations/csa/Old site officers.html
2003.10.02 20:13 B C:\ADrienne\CSA old site\photo.html --> ftp.ase.tufts.edu /ase/studentorganizations/csa/Old site photo.html
2003.10.02 20:13 B C:\ADrienne\CSA old site\Utopia.gif --> ftp.ase.tufts.edu /ase/studentorganizations/csa/Old site Utopia.gif
